Group Category,Keyword,Search Volume,Keyword Difficulty,SERP Features,Top 3 Ranking Pages
Wedding Planning General,wedding reception,11000,6,ai_overview | ai_overview_sitelink | image_th | local_pack | question | news | video_th | image | sitelink,N/A — requires SERP lookup
Wedding Planning General,wedding ceremony,8500,26,ai_overview | ai_overview_sitelink | image_th | question | local_pack | video_th | news | image,N/A — requires SERP lookup
Wedding Planning General,wedding party,5100,13,ai_overview | ai_overview_sitelink | image_th | question | image | video_th,N/A — requires SERP lookup
Wedding Planning General,guest list,2400,9,paid_top | paid_sitelink | question | sitelink | discussion | paid_bottom | video_th,N/A — requires SERP lookup
Wedding Planning General,loved ones,1700,8,question | news | image_th | knowledge_panel | image | video_th | sitelink,N/A — requires SERP lookup
Wedding Planning General,guest list template,1000,1,paid_top | paid_sitelink | image | image_th | question | video_th | paid_bottom,N/A — requires SERP lookup
Wedding Planning General,wedding guests,700,5,image | question | organic_shopping | image_th | sitelink | video_th,N/A — requires SERP lookup
Wedding Planning General,planning wedding,700,4,image | question | local_pack | paid_bottom | paid_sitelink | video_th,N/A — requires SERP lookup
Wedding Planning General,elegant wedding,500,10,ai_overview | ai_overview_sitelink | image_th | question | news | paid_bottom | image | organic_shopping | video_th | sitelink,N/A — requires SERP lookup
Wedding Planning General,close family,350,0,ai_overview | question | image,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,seating chart maker,7600,19,image | paid_bottom | video_th | image_th,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,seating chart generator,2500,18,image_th | sitelink | paid_bottom | image | video_th,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,free seating chart maker,900,9,image | paid_bottom | video_th | image_th,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,seating chart creator,800,17,paid_top | image | paid_bottom | paid_sitelink | video_th | sitelink,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,canva seating chart,500,3,sitelink | image | video_th,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,weddingwire seating chart,400,2,paid_top | image | video_th | question | paid_bottom,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,wedding wire seating chart,350,3,image | video_th,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,create a seating chart,300,8,paid_top | image_th | image,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,create seating chart,250,4,image_th | image | video_th | news,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,seating chart software,250,12,sitelink | image | discussion,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,seating chart tool,250,12,sitelink | image | image_th,N/A — requires SERP lookup
Seating Chart Maker & Digital Tools,event seating plan generator,200,22,paid_top | paid_sitelink | image,N/A — requires SERP lookup
Core Seating Chart Terms,seating chart,7600,20,image | question | paid_bottom | paid_sitelink | video_th,N/A — requires SERP lookup
Core Seating Chart Terms,seating chart template,5700,8,image | question | video_th | paid_bottom | paid_sitelink | image_th | sitelink,N/A — requires SERP lookup
Core Seating Chart Terms,seating charts,1700,9,image | video_th | image_th | sitelink,N/A — requires SERP lookup
Core Seating Chart Terms,seating chart ideas,1600,14,image | organic_shopping | image_th | question | news | video_th | sitelink,N/A — requires SERP lookup
Core Seating Chart Terms,seating arrangements,800,5,image | question | sitelink | news | image_th | video_th | organic_shopping | paid_bottom | paid_sitelink,N/A — requires SERP lookup
Core Seating Chart Terms,seating chart for wedding,600,18,shopping | image_th | paid_top | paid_sitelink | image | sitelink | organic_shopping | question | news | video_th | paid_bottom,N/A — requires SERP lookup
Core Seating Chart Terms,seating arrangement,500,28,ai_overview | paid_top | question | news | image_th | paid_bottom | image | video_th,N/A — requires SERP lookup
Core Seating Chart Terms,seating plan,400,6,ai_overview | paid_bottom | paid_sitelink,N/A — requires SERP lookup
Core Seating Chart Terms,seating charts for weddings,350,18,image | question | organic_shopping | image_th,N/A — requires SERP lookup
Core Seating Chart Terms,what is a seating chart,350,5,ai_overview | ai_overview_sitelink | image_th | question | video_th | news | image,N/A — requires SERP lookup
Core Seating Chart Terms,event seating chart,300,5,image | news | image_th,N/A — requires SERP lookup
Core Seating Chart Terms,seating arrangement ideas,300,14,ai_overview | ai_overview_sitelink | image_th | question | organic_shopping | news,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating chart,7400,30,image | organic_shopping | image_th | question | video_th | sitelink,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating chart ideas,2800,12,image | discussion | organic_shopping | image_th | video_th,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating chart template,1900,8,paid_top | paid_sitelink | ai_overview | ai_overview_sitelink | image_th | image | paid_bottom | shopping | video_th,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating chart maker,800,25,image | paid_bottom | image_th | video_th,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating chart tool,500,13,paid_top | paid_sitelink | sitelink | image | paid_bottom | image_th | video_th,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating chart board,500,1,shopping | image_th | organic_shopping | news | video_th | sitelink,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating chart sign,450,0,organic_shopping | image_th | sitelink | news,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating charts,350,4,image | organic_shopping | image_th,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating,350,18,ai_overview | question | organic_shopping | image_th | news,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating chart app,250,4,sitelink | image | paid_bottom,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding seating arrangements,250,27,ai_overview | news | image_th,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding reception seating chart,200,18,image | news | image_th,N/A — requires SERP lookup
Wedding Seating Chart (Core),wedding ceremony seating chart,200,2,image | sitelink | question | image_th | video,N/A — requires SERP lookup
Seating Chart Templates,table seating chart template,900,4,shopping | image_th | paid_top | image | question | sitelink | paid_bottom | paid_sitelink | video_th,N/A — requires SERP lookup
Seating Chart Templates,editable table seating chart template,800,13,image | paid_bottom | paid_sitelink | video_th | image_th | sitelink,N/A — requires SERP lookup
Seating Chart Templates,chart template,800,12,image | question | video_th,N/A — requires SERP lookup
Seating Chart Templates,free seating chart template,500,5,paid_top | image | video_th | image_th,N/A — requires SERP lookup
Seating Chart Templates,seating chart wedding template,450,14,image | paid_bottom | paid_sitelink,N/A — requires SERP lookup
Seating Chart Templates,seating chart template wedding,400,15,image,N/A — requires SERP lookup
Seating Chart Templates,seating chart template free,250,8,image | paid_bottom,N/A — requires SERP lookup
Seating Chart Templates,seating arrangement template,250,5,image | question | paid_bottom | paid_sitelink,N/A — requires SERP lookup
Seating Chart Templates,wedding seating chart template excel,250,2,ai_overview | ai_overview_sitelink | image_th,N/A — requires SERP lookup
Seating Chart Templates,wedding table seating chart template,200,14,image_th | sitelink | image | organic_shopping,N/A — requires SERP lookup
Table Seating Charts,table seating chart,800,23,image | organic_shopping | image_th | question | paid_bottom | paid_sitelink | sitelink | video_th,N/A — requires SERP lookup
Table Seating Charts,wedding table seating chart,450,17,image | sitelink | question | organic_shopping | image_th,N/A — requires SERP lookup
Table Seating Charts,table seating chart wedding,250,30,image | sitelink | image_th | organic_shopping | question | news | video_th,N/A — requires SERP lookup
Table Seating Charts,wedding table layout,250,23,paid_top | paid_sitelink | image | question,N/A — requires SERP lookup
Wedding Seating Chart Ideas & Inspiration,seating chart wedding ideas,500,15,image | image_th | sitelink | organic_shopping,N/A — requires SERP lookup
Wedding Seating Chart Ideas & Inspiration,unique seating chart ideas,200,10,image | image_th | sitelink,N/A — requires SERP lookup
Wedding Seating Chart Ideas & Inspiration,seating chart examples,200,14,image | question | news | image_th,N/A — requires SERP lookup
Wedding Seating Chart Ideas & Inspiration,unique wedding seating chart ideas,200,24,image | ai_overview | news | image_th,N/A — requires SERP lookup
DIY Seating Charts,cheap diy wedding seating chart,350,0,image | ai_overview | organic_shopping | image_th,N/A — requires SERP lookup
DIY Seating Charts,diy seating chart wedding,300,0,image | image_th | sitelink | video_th,N/A — requires SERP lookup
DIY Seating Charts,diy wedding seating chart,250,0,image | news | image_th | video_th,N/A — requires SERP lookup
How-To & Guides,how to make a wedding seating chart,700,20,shopping | image_th | paid_top | sitelink | ai_overview | ai_overview_sitelink | image | question | news | video_th | paid_bottom | paid_sitelink,N/A — requires SERP lookup
How-To & Guides,how to make a seating chart,200,9,ai_overview | paid_top | video_th | question | paid_bottom,N/A — requires SERP lookup
Wedding Reception Layout & Floor Plans,wedding floor plan,350,11,image_th | sitelink,N/A — requires SERP lookup
Wedding Reception Layout & Floor Plans,rectangle wedding table layout plan,300,0,image,N/A — requires SERP lookup
Wedding Reception Layout & Floor Plans,wedding reception layout,250,1,paid_top | sitelink | image_th | image | news | video_th | question | paid_bottom | paid_sitelink,N/A — requires SERP lookup
Wedding Reception Layout & Floor Plans,rectangle wedding reception floor plan,250,0,image | ai_overview,N/A — requires SERP lookup
Wedding Reception Layout & Floor Plans,wedding layout,200,21,image | question,N/A — requires SERP lookup
Wedding Reception Layout & Floor Plans,wedding reception tables layout,200,12,question | image_th | discussion,N/A — requires SERP lookup
Wedding Reception Layout & Floor Plans,wedding floor plan maker,200,23,sitelink | video_th,N/A — requires SERP lookup
Wedding Seating Display & Signage,wedding sign,2600,2,organic_shopping | image_th | image | sitelink | video_th,N/A — requires SERP lookup
Wedding Seating Display & Signage,wedding signage,1600,3,ai_overview | ai_overview_sitelink | image_th | local_pack | image | organic_shopping | question | sitelink | video_th,N/A — requires SERP lookup
Wedding Seating Display & Signage,seating chart sign,400,0,news | image_th | organic_shopping,N/A — requires SERP lookup
Wedding Seating Display & Signage,find your seat wedding sign,300,0,shopping | image_th | paid_top | image | sitelink | organic_shopping | question,N/A — requires SERP lookup
Wedding Seating Display & Signage,number board,250,0,image | organic_shopping | image_th | question | sitelink | news | video_th,N/A — requires SERP lookup
Wedding Seating Display & Signage,seating chart board,200,0,shopping | image_th | paid_top | image | organic_shopping | sitelink | news | video_th,N/A — requires SERP lookup
